timestamp,epoch_time,event_type,epoch,loss,accuracy,val_accuracy,sample_count,detected_class,extra_info,raw_message
2026-05-21T15:49:21.332360,1779367761.3323607,TRAIN_EPOCH,4,1.2483,25.0,,,,,  Epoch  4  Loss=1.2483  Acc=25.0%
2026-05-21T15:49:21.429071,1779367761.4290712,TRAIN_EPOCH,5,1.2383,25.0,,,,,  Epoch  5  Loss=1.2383  Acc=25.0%
2026-05-21T15:49:21.535565,1779367761.5355656,TRAIN_EPOCH,6,1.2287,25.0,,,,,  Epoch  6  Loss=1.2287  Acc=25.0%
2026-05-21T15:49:21.632190,1779367761.6321907,TRAIN_EPOCH,7,1.2177,25.0,,,,,  Epoch  7  Loss=1.2177  Acc=25.0%
2026-05-21T15:49:21.729246,1779367761.729246,TRAIN_EPOCH,8,1.2072,30.0,,,,,  Epoch  8  Loss=1.2072  Acc=30.0%
2026-05-21T15:49:21.834669,1779367761.8346696,TRAIN_EPOCH,9,1.1971,30.0,,,,,  Epoch  9  Loss=1.1971  Acc=30.0%
2026-05-21T15:49:21.929365,1779367761.9303632,TRAIN_EPOCH,10,1.1855,30.0,,,,,  Epoch 10  Loss=1.1855  Acc=30.0%
2026-05-21T15:49:22.035291,1779367762.035292,TRAIN_EPOCH,11,1.1724,30.0,,,,,  Epoch 11  Loss=1.1724  Acc=30.0%
2026-05-21T15:49:22.131128,1779367762.1311283,TRAIN_EPOCH,12,1.1591,30.0,,,,,  Epoch 12  Loss=1.1591  Acc=30.0%
2026-05-21T15:49:22.236927,1779367762.2369275,TRAIN_EPOCH,13,1.1494,30.0,,,,,  Epoch 13  Loss=1.1494  Acc=30.0%
2026-05-21T15:49:22.332500,1779367762.3325002,TRAIN_EPOCH,14,1.1385,30.0,,,,,  Epoch 14  Loss=1.1385  Acc=30.0%
2026-05-21T15:49:22.335526,1779367762.3355262,VALIDATION,,,,30.0,10,,,[ACCURACY] Validation: 30.0% (n=10)
2026-05-21T15:49:22.338117,1779367762.3381174,FL,,,,,,,"B1 pre-pack: min=-2.5526, max=1.3122, mean=-0.1901","[FL] B1 pre-pack: min=-2.5526, max=1.3122, mean=-0.1901"
2026-05-21T15:49:22.340114,1779367762.3401144,FL,,,,,,,Model sent (72 bytes),[FL] Model sent (72 bytes)
2026-05-21T15:49:22.559953,1779367762.559954,BLE,,,,,,,Received global model (64 bytes),[BLE] Received global model (64 bytes)
2026-05-21T15:49:22.562938,1779367762.5629385,FL,,,,,,,Global model updated (Adam reset),[FL] Global model updated (Adam reset)
2026-05-21T15:49:22.563936,1779367762.5639362,FL,,,,,,,"B1 unpacked: min=-2.1260, max=1.1811, mean=-0.1722","[FL] B1 unpacked: min=-2.1260, max=1.1811, mean=-0.1722"
2026-05-21T15:49:22.838720,1779367762.8387203,NEW_SAMPLE,,,,,21,horse,,[DATA] class=horse (n=21)
2026-05-21T15:49:24.840018,1779367764.8400187,NEW_SAMPLE,,,,,22,dog,,[DATA] class=dog (n=22)
2026-05-21T15:49:26.845428,1779367766.8454285,NEW_SAMPLE,,,,,23,dog,,[DATA] class=dog (n=23)
2026-05-21T15:49:28.844995,1779367768.844995,NEW_SAMPLE,,,,,24,cat,,[DATA] class=cat (n=24)
2026-05-21T15:49:30.840922,1779367770.8409228,NEW_SAMPLE,,,,,25,other,,[DATA] class=other (n=25)
